marca_possivel,marca_normalizada,categorias_nao_genericas,laboratorios,quantidade_apresentacoes,tambem_aparece_como_generico
MELUREN,MELUREN,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,2,nao
MELYSSE,MELYSSE,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,4,nao
MENACTRA,MENACTRA,Biológico,SANOFI MEDLEY FARMACÊUTICA LTDA.,1,nao
MENELAT,MENELAT,Similar,TORRENT DO BRASIL LTDA,3,nao
MENELAT ODT,MENELAT ODT,Similar,TORRENT DO BRASIL LTDA,4,nao
MENJUGATE,MENJUGATE,Biológico,GLAXOSMITHKLINE BRASIL LTDA,2,nao
MENOCOL,MENOCOL,Similar,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,18,nao
MENOPRIN,MENOPRIN,Similar,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,1,nao
MENOPUR,MENOPUR,Biológico,LABORATÓRIOS FERRING LTDA,3,nao
MENQUADFI,MENQUADFI,Biológico,SANOFI MEDLEY FARMACÊUTICA LTDA.,2,nao
MENSYVA,MENSYVA,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,5,nao
MENVEO,MENVEO,Biológico,GLAXOSMITHKLINE BRASIL LTDA,3,nao
MEPACT,MEPACT,Novo,TAKEDA PHARMA LTDA.,1,nao
MEPIADRE,MEPIADRE,Similar,DFL INDÚSTRIA E COMÉRCIO S/A,1,nao
MEPICAIN 3%,MEPICAIN 3,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,1,nao
MEPISV,MEPISV,Similar,DFL INDÚSTRIA E COMÉRCIO S/A,1,nao
MEPIVALEM 3 % SV,MEPIVALEM 3 SV,Similar,DLA PHARMACEUTICAL LTDA,1,nao
MEPIVALEM AD,MEPIVALEM AD,Similar,DLA PHARMACEUTICAL LTDA,1,nao
MEPSEVII,MEPSEVII,Biológico,ULTRAGENYX BRASIL FARMACEUTICA LTDA,1,nao
MERACILINA,MERACILINA,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,2,nao
MERCILON,MERCILON,Novo,ORGANON FARMACEUTICA LTDA.,2,nao
MERCILON CONTI,MERCILON CONTI,Novo,ORGANON FARMACEUTICA LTDA.,2,nao
MERIONAL HG,MERIONAL HG,Biológico,BESINS HEALTHCARE BRASIL COMERCIAL E DISTRIBUIDORA DE MEDICAMENTOS LTDA,3,nao
MERITOR,MERITOR,Novo,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,4,nao
MEROMAX,MEROMAX,Novo,EUROFARMA LABORATORIOS S.A.,1,nao
MERONEM,MERONEM,Novo,PFIZER BRASIL LTDA,2,nao
MESACOL,MESACOL,Novo | Similar,TAKEDA PHARMA LTDA.,8,nao
MESIDOX,MESIDOX,Similar,MERCK S/A,2,nao
MESIGYNA,MESIGYNA,Novo,BAYER S.A.,2,nao
MESOTEM,MESOTEM,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,2,nao
MESTINON,MESTINON,Similar,CELLERA FARMACEUTICA S.A.,1,nao
METADEX,METADEX,Similar,LABORATÓRIOS OSÓRIO DE MORAES LTDA,3,nao
METADOXIL,METADOXIL,Novo,LABORATÓRIOS BALDACCI LTDA,1,nao
METALYSE,METALYSE,Novo,BOEHRINGER INGELHEIM DO BRASIL QUIMICA E FARMACEUTICA LTDA.,3,nao
METAMUCIL,METAMUCIL,Fitoterápico,PROCTER & GAMBLE DO BRASIL LTDA,3,nao
METICORTEN,METICORTEN,Novo,ORGANON FARMACEUTICA LTDA.,2,nao
METOCLOSANTISA,METOCLOSANTISA,Similar,SANTISA LABORATÓRIO FARMACÊUTICO S/A,1,nao
METREXATO,METREXATO,Novo,BLAU FARMACEUTICA S.A.,1,nao
METROFARMA,METROFARMA,Similar,FARMACE INDÚSTRIA QUÍMICO-FARMACÊUTICA CEARENSE LTDA,1,nao
METRONACK,METRONACK,Similar,LABORATORIOS B. BRAUN S/A,2,nao
METRONIFLEX,METRONIFLEX,Similar,BAXTER HOSPITALAR LTDA,1,nao
MEVATYL,MEVATYL,Específico,BIOPAS BRASIL PRODUTOS FARMACEUTICOS LTDA,1,nao
MEXY,MEXY,Similar,EUROFARMA LABORATORIOS S.A.,4,nao
MEZOLIUM,MEZOLIUM,Similar,GERMED FARMACEUTICA LTDA,8,nao
MEZP,MEZP,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,1,nao
MIBO,MIBO,Similar,CAMBER FARMACEUTICA LTDA,1,nao
MICARDIS,MICARDIS,Novo,BOEHRINGER INGELHEIM DO BRASIL QUIMICA E FARMACEUTICA LTDA.,4,nao
MICARDIS ANLO,MICARDIS ANLO,Novo,BOEHRINGER INGELHEIM DO BRASIL QUIMICA E FARMACEUTICA LTDA.,5,nao
MICARDIS HCT,MICARDIS HCT,Novo,BOEHRINGER INGELHEIM DO BRASIL QUIMICA E FARMACEUTICA LTDA.,5,nao
MICEND,MICEND,Similar,LABORATORIO QUIMICO FARMACEUTICO BERGAMO LTDA,1,nao
MICLOX,MICLOX,Similar,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,1,nao
MICOLAMINA,MICOLAMINA,Similar,THERASKIN FARMACEUTICA LTDA.,6,nao
MICOPLEX,MICOPLEX,Similar,CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA,1,nao
MICOSTALAB,MICOSTALAB,Similar,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,3,nao
MICOZEN,MICOZEN,Similar,LABORATORIO TEUTO BRASILEIRO S/A,1,nao
MICPURE,MICPURE,Similar,APSEN FARMACEUTICA S/A,2,nao
MICRODIOL,MICRODIOL,Novo,ORGANON FARMACEUTICA LTDA.,1,nao
MICROPIL,MICROPIL,Similar,EMS SIGMA PHARMA LTDA,3,nao
MICROVLAR,MICROVLAR,Novo,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,2,nao
MIEBRA,MIEBRA,Similar,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,2,nao
MIELOCADE,MIELOCADE,Similar,LABORATORIO QUIMICO FARMACEUTICO BERGAMO LTDA,1,nao
MIFLONIDE BRIZZ,MIFLONIDE BRIZZ,Novo,NOVARTIS BIOCIENCIAS S.A,1,nao
MIGRAINEX,MIGRAINEX,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,1,nao
MIGRALIV,MIGRALIV,Similar,EMS S/A,4,nao
MILDÊ,MILDE,Específico,LABORATÓRIO GROSS S. A.,3,nao
MILGAMMA,MILGAMMA,Novo,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,1,nao
MIMPARA,MIMPARA,Novo,AMGEN BIOTECNOLOGIA DO BRASIL LTDA.,1,nao
MIND,MIND,Similar,BIOLAB SANUS FARMACEUTICA LTDA,3,nao
MINEL,MINEL,Fitoterápico,ARESE PHARMA LTDA,2,nao
MINÉRGI,MINERGI,Similar,SUPERA FARMA LABORATÓRIOS S.A,7,nao
MINIAN,MINIAN,Similar,LIBBS FARMACÊUTICA LTDA,2,nao
MINILAX,MINILAX,Específico,EUROFARMA LABORATORIOS S.A.,2,nao
MINIMA,MINIMA,Similar,SANOFI MEDLEY FARMACÊUTICA LTDA.,2,nao
MINJUVI,MINJUVI,Biológico,UNITED MEDICAL LTDA,1,nao
MÍNTI,MINTI,Similar,EUROFARMA LABORATORIOS S.A.,2,nao
MIODARON,MIODARON,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,1,nao
MIOFIBRAX,MIOFIBRAX,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,10,nao
MIOFLEX A,MIOFLEX A,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,2,nao
MIOGESIC LIS,MIOGESIC LIS,Similar,EMS S/A,5,nao
MIONEVRIX,MIONEVRIX,Novo,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,2,nao
MIORRELAX,MIORRELAX,Similar,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,6,nao
MIOSAN,MIOSAN,Novo,APSEN FARMACEUTICA S/A,5,nao
MIOSAN CAF,MIOSAN CAF,Novo,APSEN FARMACEUTICA S/A,4,nao
MIOSAN ODT,MIOSAN ODT,Novo,APSEN FARMACEUTICA S/A,4,nao
MIRAB,MIRAB,Similar,EUROFARMA LABORATORIOS S.A.,2,nao
MIRADOR,MIRADOR,Similar,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,1,nao
MIRADOR CÓLICA,MIRADOR COLICA,Similar,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,1,nao
MIRANOVA,MIRANOVA,Novo,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,1,nao
MIRENA,MIRENA,Novo,BAYER S.A.,1,nao
MIRTAX,MIRTAX,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,8,nao
MIRUGELL,MIRUGELL,Específico,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,2,nao
MISCK,MISCK,Similar,VOLPHARMA DISTRIBUIDORA DE PRODUTOS HOSPITALARES E FARMACÊUTICOS LTDA,1,nao
MISSORT,MISSORT,Similar,EMS S/A,5,nao
MITEXAN,MITEXAN,Novo,BAXTER HOSPITALAR LTDA,3,nao
MITRIP,MITRIP,Similar,MYRALIS INDUSTRIA FARMACEUTICA LTDA,3,nao
MITRUL,MITRUL,Novo,ADIUM S.A.,3,nao
MIXISTAR,MIXISTAR,Específico,HALEX ISTAR INDUSTRIA FARMACEUTICA SA,3,nao
MIZONOL,MIZONOL,Similar,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,1,nao
MOBALE,MOBALE,Similar,EUROFARMA LABORATORIOS S.A.,4,nao
MODIK,MODIK,Similar,GERMED FARMACEUTICA LTDA,2,nao
MODULATRI,MODULATRI,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,3,nao
MOFECELL,MOFECELL,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,6,nao
MOLIDON,MOLIDON,Similar,EMS SIGMA PHARMA LTDA,2,nao
MOLIÈRI,MOLIERI,Similar,EUROFARMA LABORATORIOS S.A.,5,nao
MOMATE,MOMATE,Similar,GLENMARK FARMACÊUTICA LTDA,2,nao
MOMENT,MOMENT,Específico,APSEN FARMACEUTICA S/A,3,nao
MONALESS,MONALESS,Fitoterápico,MARJAN INDÚSTRIA E COMÉRCIO LTDA,1,nao
MONAX,MONAX,Similar,EUROFARMA LABORATORIOS S.A.,2,nao
MONBOC,MONBOC,Similar,EMS S/A,1,nao
MONECAST,MONECAST,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,2,nao
MONESSA,MONESSA,Específico,BIOLAB SANUS FARMACEUTICA LTDA,2,nao
MONITUM,MONITUM,Similar,TEVA FARMACÊUTICA LTDA.,3,nao
MONOCEF,MONOCEF,Similar,INSTITUTO BIOCHIMICO INDÚSTRIA FARMACÊUTICA LTDA,1,nao
MONOCORDIL,MONOCORDIL,Novo,LABORATÓRIOS BALDACCI LTDA,5,nao
MONOFER,MONOFER,Específico,STEINCARES FARMACEUTICA DO BRASIL LTDA,2,nao
MONOLATAN,MONOLATAN,Novo,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,2,nao
MONOZOL,MONOZOL,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,1,nao
MONTELAIR,MONTELAIR,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,13,nao
MONURIL,MONURIL,Novo,ZAMBON LABORATÓRIOS FARMACÊUTICOS LTDA.,2,nao
MORATUS,MORATUS,Similar,SANOFI MEDLEY FARMACÊUTICA LTDA.,1,nao
MORIALE DUO,MORIALE DUO,Similar,EMS S/A,6,nao
MORIALE ODT,MORIALE ODT,Novo,EMS S/A,16,nao
MOTILIUM,MOTILIUM,Novo,JANSSEN-CILAG FARMACEUTICA LTDA | KENVUE LTDA.,6,nao
MOTIRIDONA,MOTIRIDONA,Similar,GERMED FARMACEUTICA LTDA,2,nao
MOTORE,MOTORE,Fitoterápico,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,6,nao
MOTRAZ,MOTRAZ,Similar,EUROFARMA LABORATORIOS S.A.,4,nao
MOUNJARO,MOUNJARO,Novo,ELI LILLY DO BRASIL LTDA,24,nao
MOUNJARO MULTIDOSE,MOUNJARO MULTIDOSE,Novo,ELI LILLY DO BRASIL LTDA,6,nao
MOVINAU,MOVINAU,Similar,NATULAB LABORATORIO S.A,1,nao
MOVYDIA,MOVYDIA,Similar,ABBOTT LABORATORIOS DO BRASIL LTDA,4,nao
MOZ,MOZ,Similar,CAMBER FARMACEUTICA LTDA,12,nao
MOZOBIL,MOZOBIL,Novo,SANOFI MEDLEY FARMACÊUTICA LTDA.,1,nao
MTX,MTX,Similar,BLAU FARMACEUTICA S.A.,3,nao
MUCBE,MUCBE,Similar,KYMBERG FARMACEUTICA DO BRASIL LTDA,2,nao
MUCOFAN,MUCOFAN,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,2,nao
MUCOS EXPEC,MUCOS EXPEC,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,3,nao
MUCOSOLVAN,MUCOSOLVAN,Novo,OPELLA HEALTHCARE BRAZIL LTDA | SANOFI MEDLEY FARMACÊUTICA LTDA.,4,nao
MUD,MUD,Similar,EUROFARMA LABORATORIOS S.A.,1,nao
MUD ORAL,MUD ORAL,Similar,EUROFARMA LABORATORIOS S.A.,1,nao
MULTIBIC,MULTIBIC,Específico,FRESENIUS MEDICAL CARE LTDA,2,nao
MULTIGRIP,MULTIGRIP,Similar,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,3,nao
MULTIGRIP MIX,MULTIGRIP MIX,Similar,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,1,nao
MULTIHANCE,MULTIHANCE,Novo,BRACCO IMAGING DO BRASIL IMPORTAÇÃO E DISTRIBUIÇÃO DE MEDICAMENTOS LTDA,2,nao
MULTIPIRAL,MULTIPIRAL,Similar,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,3,nao
MULTISORO ADULTO,MULTISORO ADULTO,Similar,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,1,nao
MULTITOSSE,MULTITOSSE,Similar,EMS S/A,1,nao
MULTIVITAM,MULTIVITAM,Específico,COMANDO DO EXÉRCITO,1,nao
MUPHORAN,MUPHORAN,Novo,LABORATORIOS SERVIER DO BRASIL LTDA,1,nao
MUSBENO,MUSBENO,Novo,DR. REDDYS FARMACÊUTICA DO BRASIL LTDA,2,nao
MUSCULARE,MUSCULARE,Similar,EUROFARMA LABORATORIOS S.A.,4,nao
MUSCUSAN,MUSCUSAN,Similar,GERMED FARMACEUTICA LTDA,16,nao
MUSKARD,MUSKARD,Similar,SUPERA FARMA LABORATÓRIOS S.A,3,nao
MUVINLAX,MUVINLAX,Específico,LIBBS FARMACÊUTICA LTDA,2,nao
MVASI,MVASI,Biológico,AMGEN BIOTECNOLOGIA DO BRASIL LTDA.,2,nao
MYALEPT,MYALEPT,Biológico,CHIESI FARMACÊUTICA LTDA,3,nao
MYCAFREM,MYCAFREM,Similar,ACCORD FARMACÊUTICA LTDA,4,nao
MYCAMINE,MYCAMINE,Novo,ASTELLAS FARMA BRASIL IMPORTAÇÃO E DISTRIBUIÇÃO DE MEDICAMENTOS LTDA. | SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,4,nao
MYDRIACYL,MYDRIACYL,Novo,NOVARTIS BIOCIENCIAS S.A,1,nao
MYDULO,MYDULO,Similar,GERMED FARMACEUTICA LTDA,12,nao
MYFORTIC,MYFORTIC,Novo,NOVARTIS BIOCIENCIAS S.A,2,nao
MYFOS,MYFOS,Similar,MYRALIS INDUSTRIA FARMACEUTICA LTDA,2,nao
MYLANTA PLUS,MYLANTA PLUS,Específico,JANSSEN-CILAG FARMACEUTICA LTDA | KENVUE LTDA.,4,nao
MYLETIN,MYLETIN,Similar,PRATI DONADUZZI & CIA LTDA,4,nao
MYLICON,MYLICON,Novo,KENVUE LTDA.,1,nao
MYLLCIS,MYLLCIS,Similar,VIATRIS FARMACEUTICA DO BRASIL LTDA,6,nao
MYLOTARG,MYLOTARG,Biológico,PFIZER BRASIL LTDA,1,nao
MYLTOL,MYLTOL,Similar,VIATRIS FARMACEUTICA DO BRASIL LTDA,12,nao
MYLUS,MYLUS,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,1,nao
MYLVESTON,MYLVESTON,Similar,VIATRIS FARMACEUTICA DO BRASIL LTDA,1,nao
MYLZAR,MYLZAR,Similar,VIATRIS FARMACEUTICA DO BRASIL LTDA,6,nao
MYOBLOQ,MYOBLOQ,Similar,APSEN FARMACEUTICA S/A,3,nao
MYOZYME,MYOZYME,Biológico,SANOFI MEDLEY FARMACÊUTICA LTDA.,1,nao
MYRAFER,MYRAFER,Específico,MYRALIS INDUSTRIA FARMACEUTICA LTDA,4,nao
MYRBETRIC,MYRBETRIC,Novo,ASTELLAS FARMA BRASIL IMPORTAÇÃO E DISTRIBUIÇÃO DE MEDICAMENTOS LTDA.,3,nao
MYTEDOM,MYTEDOM,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,6,nao
MYTRO,MYTRO,Similar,MYRALIS INDUSTRIA FARMACEUTICA LTDA,5,nao
NABOTA,NABOTA,Biológico,MOKSHA8 BRASIL INDUSTRIA E COMERCIO DE MEDICAMENTOS LTDA,2,nao
NACTALI,NACTALI,Similar,LIBBS FARMACÊUTICA LTDA,2,nao
NAÉVIA,NAEVIA,Específico,CELLERA FARMACEUTICA S.A.,3,nao
NAGLAZYME,NAGLAZYME,Biológico,BIOMARIN BRASIL FARMACÊUTICA LTDA,1,nao
NAIRE,NAIRE,Similar,EUROFARMA LABORATORIOS S.A.,2,nao
NALBLI,NALBLI,Similar,HALEX ISTAR INDUSTRIA FARMACEUTICA SA,2,nao
NALDECON DIA,NALDECON DIA,Novo,RECKITT BENCKISER (BRASIL) LTDA,1,nao
NALDECON MULTI,NALDECON MULTI,Similar,RECKITT BENCKISER (BRASIL) LTDA,2,nao
NALDECON NOITE,NALDECON NOITE,Novo,RECKITT BENCKISER (BRASIL) LTDA,2,nao
NALDECON PACK,NALDECON PACK,Novo,RECKITT BENCKISER (BRASIL) LTDA,2,nao
NAOMI,NAOMI,Similar,HEMAFARMA COM. E IND. FARM. LTDA,4,nao
NAPRIX,NAPRIX,Similar,LIBBS FARMACÊUTICA LTDA,6,nao
NAPRIX A,NAPRIX A,Novo,LIBBS FARMACÊUTICA LTDA,7,nao
NAPRIX D,NAPRIX D,Novo,LIBBS FARMACÊUTICA LTDA,3,nao
NAPRONAX,NAPRONAX,Similar,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,1,nao
NAPROX,NAPROX,Similar,LABORATORIO TEUTO BRASILEIRO S/A,2,nao
NARAMIG,NARAMIG,Novo,GLAXOSMITHKLINE BRASIL LTDA,1,nao
NARANETY,NARANETY,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,7,nao
NARATANO,NARATANO,Similar,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,7,nao
NARATRIN,NARATRIN,Similar,EMS S/A,7,nao
NARCAN,NARCAN,Novo,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,2,nao
NARCEF,NARCEF,Similar,GERMED FARMACEUTICA LTDA,7,nao
NARIDRIN,NARIDRIN,Novo,EMS S/A,4,nao
NARIX,NARIX,Similar,CIMED INDUSTRIA S.A,1,nao
NAROPIN,NAROPIN,Novo,ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA,4,nao
NASACORT,NASACORT,Novo,OPELLA HEALTHCARE BRAZIL LTDA,1,nao
NASALIV,NASALIV,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,1,nao
NASOCLEAN,NASOCLEAN,Específico,MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.,1,nao
NASOJET 3H,NASOJET 3H,Específico,NATULAB LABORATORIO S.A,1,nao
NASONEX®,NASONEX,Novo,ORGANON FARMACEUTICA LTDA.,2,nao
NATIFA,NATIFA,Similar,LIBBS FARMACÊUTICA LTDA,2,nao
NATIFA PRO,NATIFA PRO,Similar,LIBBS FARMACÊUTICA LTDA,2,nao
NATIFA PRO UBD,NATIFA PRO UBD,Novo,LIBBS FARMACÊUTICA LTDA,2,nao
NATRILIX,NATRILIX,Novo,LABORATORIOS SERVIER DO BRASIL LTDA,4,nao
NATULAXE,NATULAXE,Fitoterápico,NATULAB LABORATORIO S.A,1,nao
NATURETTI,NATURETTI,Fitoterápico,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A | SANOFI MEDLEY FARMACÊUTICA LTDA.,4,nao
NATUS GERIN,NATUS GERIN,Específico,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,2,nao
NAUCLOZ,NAUCLOZ,Novo,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,4,nao
NAUDAN ODT,NAUDAN ODT,Similar,EMS S/A,10,nao
NAUSEDRON,NAUSEDRON,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,5,nao
NAUSICALM B6,NAUSICALM B6,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,1,nao
NAUSICALM CÁPSULA MOLE,NAUSICALM CAPSULA MOLE,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,2,nao
NAUSILON B6,NAUSILON B6,Similar,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,1,nao
NAUTEX,NAUTEX,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,1,nao
NAUTEX GOTAS,NAUTEX GOTAS,Novo,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,1,nao
NAUTEX ODG,NAUTEX ODG,Novo,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,4,nao
NAVELBINE,NAVELBINE,Novo,BLANVER FARMOQUIMICA E FARMACEUTICA S.A. | LABORATORIOS PIERRE FABRE DO BRASIL LTDA,4,nao
NAXOTEC,NAXOTEC,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,2,nao
NAXXAGRAN,NAXXAGRAN,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,8,nao
NEBACETIN,NEBACETIN,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,2,nao
NEBACIDERME,NEBACIDERME,Similar,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,1,nao
NEBACIMED,NEBACIMED,Similar,CIMED INDUSTRIA S.A,2,nao
NEBACTRINA,NEBACTRINA,Similar,PHARLAB INDÚSTRIA FARMACÊUTICA S.A.,1,nao
NEBIC,NEBIC,Similar,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,9,nao
NEBIDO,NEBIDO,Novo,GRÜNENTHAL DO BRASIL FARMACÊUTICA LTDA.,1,nao
NEBILET,NEBILET,Novo,BIOLAB SANUS FARMACEUTICA LTDA,5,nao
NEBIPRE,NEBIPRE,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,8,nao
NEBITAH,NEBITAH,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,3,nao
NEBLOCK,NEBLOCK,Novo | Similar,TORRENT DO BRASIL LTDA,8,nao
NEMICINA,NEMICINA,Similar,CELLERA FARMACEUTICA S.A.,1,nao
NEMOXIL,NEMOXIL,Similar,1FARMA INDUSTRIA FARMACEUTICA LTDA,2,nao
NENE DENT N,NENE DENT N,Novo,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,2,nao
NENFY,NENFY,Específico,LABORATORIO TEUTO BRASILEIRO S/A,1,nao
NEO B,NEO B,Específico,EUROFARMA LABORATORIOS S.A.,3,nao
NEO CEBETIL COMPLEXO,NEO CEBETIL COMPLEXO,Específico,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,1,nao
NEO DECAPEPTYL,NEO DECAPEPTYL,Novo,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,3,nao
NEO FEDIPINA,NEO FEDIPINA,Similar,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,2,nao
NEO FÓLICO,NEO FOLICO,Específico,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,1,nao
NEO FRESH,NEO FRESH,Específico,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,1,nao
NEO LORATADIN,NEO LORATADIN,Similar,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,1,nao
NEO MISTATIN,NEO MISTATIN,Similar,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,1,nao
NEOCAINA,NEOCAINA,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,4,nao
NEOCAÍNA COM VASOCONSTRITOR,NEOCAINA COM VASOCONSTRITOR,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,4,nao
NEOCAINA PESADA,NEOCAINA PESADA,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,2,nao
NEOCOFLAN,NEOCOFLAN,Similar,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,3,nao
NEOCOPAN COMPOSTO,NEOCOPAN COMPOSTO,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,2,nao
NEODIA,NEODIA,Similar,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,1,nao
NEOLEFRIN,NEOLEFRIN,Similar,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,3,nao
NEOLEFRIN DIA,NEOLEFRIN DIA,Similar,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,1,nao
NEOMETRODAZOL,NEOMETRODAZOL,Similar,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,1,nao
NEOMICON,NEOMICON,Similar,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,1,nao
NEONAZOL,NEONAZOL,Similar,NATIVITA IND. COM. LTDA.,1,nao
NEOPANTOL,NEOPANTOL,Específico,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,1,nao
NEOPIRIDIN,NEOPIRIDIN,Similar,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,2,nao
NEOPLEXUS,NEOPLEXUS,Específico,KLEY HERTZ FARMACEUTICA S.A,2,nao
NEOPRAZOL,NEOPRAZOL,Similar,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,2,nao
NEOPROFEN,NEOPROFEN,Novo,RECORDATI RARE DISEASES COMÉRCIO DE MEDICAMENTOS LTDA - ME,1,nao
